Service Type,Current participants
Capital,231.00 - 240.00
Community Participation Care,301.00 - 310.00
Early Childhood Supports,261.00 - 270.00
Group Centre Care,91.00 - 100.00
High Needs Personal Care,81.00 - 90.00
Other Capacity Building,611.00 - 620.00
Other Core,651.00 - 660.00
Personal Care,211.00 - 220.00
Plan Management,711.00 - 720.00
Shared Accommodation Supports,131.00 - 140.00
Support Coordination,341.00 - 350.00
Therapy,631.00 - 640.00
Total,1101 - 1110
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,51.00 - 60.00
Cultural and Linguistically Diverse participants,81.00 - 90.00
,
Service Type,Current spend
Capital,$1912127
Community Participation Care,$8377423
Early Childhood Supports,$1643840
Group Centre Care,$1412430
High Needs Personal Care,$592790
Other Capacity Building,$5589949
Other Core,$5960368
Personal Care,$7019018
Plan Management,$902566
Shared Accommodation Supports,$22451617
Support Coordination,$1170256
Therapy,$4364734
Total,$61397100
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,185,118,67
Community Participation Care,421,115,306
Early Childhood Supports,169,63,106
Group Centre Care,66,25,41
High Needs Personal Care,96,34,62
Other Capacity Building,536,184,352
Other Core,731,211,520
Personal Care,344,71,273
Plan Management,120,120,<5
Shared Accommodation Supports,118,46,72
Support Coordination,276,152,124
Therapy,623,197,426
Total,2206,715,1491
,
